2393;;Media (ms);Esecuzioni completate (su 1000)
2914;;897,011;1000
793;;;
661;;;
626;;;
520;;;
679;;;
1532;;;
590;;;
589;;;
713;;;
609;;;
744;;;
1840;;;
386;;;
925;;;
542;;;
664;;;
403;;;
627;;;
662;;;
828;;;
1702;;;
760;;;
1608;;;
1384;;;
1555;;;
2447;;;
853;;;
800;;;
1960;;;
657;;;
798;;;
1583;;;
573;;;
652;;;
1637;;;
680;;;
1708;;;
775;;;
696;;;
541;;;
857;;;
735;;;
1649;;;
813;;;
1265;;;
643;;;
2708;;;
556;;;
643;;;
690;;;
740;;;
530;;;
624;;;
629;;;
699;;;
505;;;
657;;;
571;;;
559;;;
1632;;;
730;;;
577;;;
1885;;;
620;;;
533;;;
369;;;
704;;;
1699;;;
589;;;
1727;;;
543;;;
1692;;;
538;;;
2688;;;
382;;;
583;;;
550;;;
743;;;
721;;;
1026;;;
672;;;
766;;;
619;;;
738;;;
634;;;
824;;;
1643;;;
1744;;;
655;;;
684;;;
1358;;;
630;;;
611;;;
1782;;;
640;;;
392;;;
659;;;
858;;;
349;;;
1397;;;
1374;;;
489;;;
1650;;;
786;;;
1611;;;
1474;;;
705;;;
744;;;
763;;;
682;;;
649;;;
1573;;;
686;;;
641;;;
561;;;
1833;;;
644;;;
464;;;
744;;;
828;;;
1524;;;
1685;;;
690;;;
1570;;;
618;;;
1753;;;
798;;;
493;;;
557;;;
555;;;
615;;;
1462;;;
521;;;
569;;;
615;;;
849;;;
787;;;
2675;;;
1692;;;
365;;;
608;;;
689;;;
1566;;;
781;;;
1538;;;
666;;;
547;;;
1519;;;
518;;;
1710;;;
1502;;;
1559;;;
852;;;
592;;;
812;;;
432;;;
549;;;
670;;;
1590;;;
2587;;;
691;;;
384;;;
534;;;
359;;;
1602;;;
701;;;
569;;;
763;;;
1758;;;
1378;;;
667;;;
598;;;
775;;;
555;;;
586;;;
720;;;
822;;;
758;;;
652;;;
796;;;
549;;;
650;;;
1511;;;
713;;;
1685;;;
704;;;
692;;;
444;;;
420;;;
619;;;
542;;;
562;;;
357;;;
1629;;;
386;;;
2724;;;
776;;;
1591;;;
743;;;
443;;;
857;;;
868;;;
741;;;
1529;;;
612;;;
468;;;
614;;;
594;;;
422;;;
1778;;;
1665;;;
754;;;
569;;;
676;;;
713;;;
616;;;
1687;;;
1649;;;
1489;;;
813;;;
881;;;
562;;;
758;;;
1641;;;
651;;;
647;;;
620;;;
539;;;
638;;;
635;;;
560;;;
913;;;
2611;;;
594;;;
735;;;
562;;;
542;;;
580;;;
804;;;
539;;;
621;;;
544;;;
1539;;;
1666;;;
546;;;
615;;;
534;;;
599;;;
527;;;
2721;;;
373;;;
1619;;;
536;;;
621;;;
623;;;
797;;;
814;;;
622;;;
611;;;
583;;;
655;;;
640;;;
1545;;;
687;;;
547;;;
542;;;
737;;;
1821;;;
1561;;;
617;;;
611;;;
795;;;
602;;;
715;;;
1736;;;
1593;;;
754;;;
759;;;
2655;;;
621;;;
816;;;
404;;;
807;;;
731;;;
574;;;
399;;;
491;;;
799;;;
829;;;
428;;;
584;;;
624;;;
522;;;
1628;;;
705;;;
1424;;;
687;;;
434;;;
2551;;;
547;;;
768;;;
434;;;
618;;;
570;;;
468;;;
1832;;;
605;;;
628;;;
1893;;;
579;;;
1553;;;
447;;;
461;;;
667;;;
1675;;;
586;;;
574;;;
758;;;
609;;;
370;;;
1730;;;
504;;;
1788;;;
1564;;;
726;;;
561;;;
654;;;
698;;;
609;;;
568;;;
603;;;
356;;;
785;;;
588;;;
776;;;
664;;;
625;;;
647;;;
546;;;
614;;;
643;;;
865;;;
727;;;
601;;;
844;;;
546;;;
681;;;
567;;;
521;;;
603;;;
543;;;
577;;;
1685;;;
858;;;
731;;;
464;;;
725;;;
768;;;
1838;;;
1704;;;
676;;;
1850;;;
641;;;
641;;;
855;;;
757;;;
931;;;
617;;;
532;;;
1753;;;
705;;;
1604;;;
2621;;;
1597;;;
667;;;
748;;;
2424;;;
650;;;
686;;;
823;;;
567;;;
657;;;
522;;;
1715;;;
808;;;
634;;;
1632;;;
610;;;
855;;;
663;;;
1774;;;
420;;;
537;;;
1541;;;
787;;;
592;;;
1510;;;
1739;;;
1628;;;
637;;;
652;;;
706;;;
607;;;
566;;;
767;;;
555;;;
520;;;
676;;;
520;;;
579;;;
548;;;
670;;;
645;;;
1665;;;
777;;;
563;;;
668;;;
1297;;;
531;;;
525;;;
789;;;
892;;;
667;;;
674;;;
641;;;
616;;;
649;;;
514;;;
335;;;
803;;;
777;;;
883;;;
635;;;
1754;;;
542;;;
558;;;
546;;;
805;;;
752;;;
469;;;
707;;;
769;;;
527;;;
554;;;
414;;;
711;;;
1903;;;
1378;;;
770;;;
1552;;;
1784;;;
708;;;
1671;;;
627;;;
1806;;;
810;;;
787;;;
1594;;;
548;;;
572;;;
1694;;;
563;;;
546;;;
2708;;;
1703;;;
714;;;
712;;;
587;;;
725;;;
515;;;
604;;;
1532;;;
590;;;
1617;;;
703;;;
606;;;
590;;;
779;;;
555;;;
780;;;
2577;;;
417;;;
350;;;
781;;;
736;;;
784;;;
608;;;
1664;;;
449;;;
667;;;
2862;;;
594;;;
504;;;
853;;;
1447;;;
759;;;
1784;;;
795;;;
751;;;
596;;;
554;;;
517;;;
703;;;
1693;;;
908;;;
779;;;
1559;;;
1605;;;
500;;;
603;;;
597;;;
544;;;
564;;;
622;;;
607;;;
542;;;
668;;;
630;;;
610;;;
694;;;
805;;;
638;;;
653;;;
2722;;;
616;;;
629;;;
825;;;
1561;;;
494;;;
1498;;;
830;;;
2601;;;
433;;;
429;;;
1597;;;
1757;;;
641;;;
1612;;;
806;;;
626;;;
1600;;;
533;;;
350;;;
825;;;
1346;;;
666;;;
2712;;;
603;;;
653;;;
643;;;
554;;;
1644;;;
759;;;
632;;;
794;;;
613;;;
717;;;
637;;;
604;;;
1528;;;
671;;;
589;;;
550;;;
538;;;
557;;;
473;;;
1712;;;
430;;;
1778;;;
1820;;;
652;;;
678;;;
394;;;
625;;;
1540;;;
1559;;;
730;;;
586;;;
1596;;;
571;;;
795;;;
830;;;
666;;;
598;;;
412;;;
549;;;
1772;;;
885;;;
2634;;;
1522;;;
1789;;;
532;;;
377;;;
701;;;
459;;;
1532;;;
979;;;
810;;;
803;;;
375;;;
388;;;
458;;;
745;;;
370;;;
627;;;
714;;;
545;;;
612;;;
743;;;
367;;;
502;;;
577;;;
2660;;;
626;;;
786;;;
594;;;
668;;;
1781;;;
364;;;
1582;;;
2506;;;
687;;;
538;;;
1606;;;
712;;;
755;;;
711;;;
582;;;
782;;;
641;;;
642;;;
787;;;
574;;;
1745;;;
1623;;;
755;;;
426;;;
617;;;
550;;;
1670;;;
658;;;
638;;;
679;;;
628;;;
497;;;
734;;;
723;;;
821;;;
366;;;
645;;;
749;;;
772;;;
657;;;
1612;;;
534;;;
790;;;
1804;;;
661;;;
1766;;;
737;;;
1737;;;
769;;;
1681;;;
605;;;
611;;;
715;;;
624;;;
1635;;;
459;;;
356;;;
793;;;
1508;;;
733;;;
760;;;
547;;;
596;;;
643;;;
2500;;;
740;;;
1628;;;
571;;;
645;;;
642;;;
631;;;
669;;;
510;;;
851;;;
539;;;
1430;;;
534;;;
1586;;;
378;;;
760;;;
711;;;
700;;;
655;;;
593;;;
614;;;
624;;;
393;;;
378;;;
614;;;
470;;;
751;;;
657;;;
1739;;;
833;;;
644;;;
1420;;;
393;;;
571;;;
1658;;;
525;;;
765;;;
707;;;
1690;;;
568;;;
1531;;;
599;;;
1584;;;
526;;;
1786;;;
635;;;
708;;;
793;;;
753;;;
769;;;
613;;;
585;;;
613;;;
732;;;
792;;;
1538;;;
726;;;
795;;;
707;;;
626;;;
623;;;
654;;;
392;;;
877;;;
600;;;
736;;;
599;;;
630;;;
774;;;
587;;;
1602;;;
374;;;
605;;;
830;;;
747;;;
653;;;
605;;;
795;;;
654;;;
806;;;
817;;;
734;;;
1503;;;
398;;;
2569;;;
516;;;
793;;;
776;;;
697;;;
733;;;
830;;;
713;;;
631;;;
543;;;
404;;;
598;;;
537;;;
1707;;;
600;;;
788;;;
1766;;;
832;;;
673;;;
417;;;
421;;;
515;;;
577;;;
822;;;
1776;;;
1807;;;
1700;;;
1733;;;
390;;;
585;;;
598;;;
575;;;
503;;;
759;;;
767;;;
842;;;
1819;;;
519;;;
1698;;;
625;;;
1599;;;
786;;;
674;;;
1588;;;
1849;;;
619;;;
786;;;
649;;;
783;;;
562;;;
1833;;;
665;;;
831;;;
579;;;
1508;;;
748;;;
873;;;
606;;;
560;;;
581;;;
410;;;
1614;;;
704;;;
1548;;;
513;;;
536;;;
723;;;
729;;;
360;;;
753;;;
774;;;
720;;;
680;;;
606;;;
639;;;
588;;;
532;;;
733;;;
586;;;
611;;;
870;;;
1662;;;
1659;;;
799;;;
1406;;;
516;;;
522;;;
349;;;
536;;;
601;;;
805;;;
1549;;;
552;;;
549;;;
1591;;;
684;;;
518;;;
716;;;
1397;;;
525;;;
1681;;;
1374;;;
1487;;;
1358;;;
688;;;
1607;;;
1663;;;
600;;;
655;;;
835;;;
1462;;;
633;;;
586;;;
595;;;
702;;;
1908;;;
1511;;;
475;;;
703;;;
537;;;
757;;;
722;;;
595;;;
849;;;
530;;;
514;;;
402;;;
1595;;;
658;;;
546;;;
564;;;
765;;;
614;;;
837;;;
627;;;
552;;;
1670;;;
512;;;
872;;;
583;;;
1768;;;
852;;;
758;;;
538;;;
647;;;
590;;;
605;;;
805;;;
697;;;
452;;;
1792;;;
601;;;
1577;;;
630;;;
705;;;
1940;;;
1607;;;
414;;;
574;;;
664;;;
1709;;;
1516;;;
622;;;
856;;;
598;;;
523;;;
767;;;
741;;;
792;;;
2708;;;
640;;;
1600;;;
762;;;
682;;;
1683;;;
1817;;;
647;;;
719;;;
536;;;
672;;;
1789;;;
782;;;
700;;;
394;;;
2524;;;
650;;;
1603;;;
2564;;;
806;;;
640;;;
850;;;
2756;;;
421;;;
661;;;
705;;;
698;;;
739;;;
1570;;;
455;;;
409;;;
2629;;;
1398;;;
621;;;
573;;;
832;;;
420;;;
1370;;;
1526;;;
668;;;
705;;;
1659;;;
366;;;
365;;;
417;;;
538;;;
624;;;
778;;;
604;;;
529;;;
806;;;
750;;;
1858;;;
644;;;
580;;;
645;;;
1524;;;
640;;;
363;;;
677;;;
717;;;
524;;;
563;;;
572;;;
373;;;
364;;;
565;;;
572;;;
